event_id,event_start,event_end,event_total_mm,peak_1hr_mm,duration_hours,wet_hours,avg_intensity,peak_ratio,rain_72h_prior,typhoon_season,cluster_id,PC1,PC2
259,2000-12-16 16:00:00,2000-12-17 16:00:00,36.963,8.247,25,11,3.3603,0.2231,128.708,0,3,-0.7024535233442182,3.1627544069330336
263,2000-12-20 16:00:00,2000-12-22 00:00:00,76.441,13.302,33,15,5.0961,0.174,17.599,0,1,0.461130905481722,-0.2607578017813061
279,2001-01-06 13:00:00,2001-01-07 07:00:00,29.345,8.699,19,9,3.2606,0.2964,1.862,0,0,-0.8373482270598077,-0.7169184842476867
284,2001-01-14 02:00:00,2001-01-15 17:00:00,170.689,13.436,40,33,5.1724,0.0787,1.538,0,1,1.4357719145575274,-0.8147769897533991
289,2001-01-18 18:00:00,2001-01-20 06:00:00,42.665,13.546,37,21,2.0317,0.3175,20.249,0,0,-0.4559180659332883,-0.1748356965373534
291,2001-01-24 14:00:00,2001-01-25 02:00:00,22.111,10.146,13,7,3.1587,0.4589,0.0,0,0,-0.9190149644845718,-0.7255735878051788
307,2001-02-17 09:00:00,2001-02-19 06:00:00,316.307,33.66,46,35,9.0373,0.1064,3.669,0,2,5.162040163231497,-0.7009211927056522
317,2001-03-05 12:00:00,2001-03-06 04:00:00,33.398,17.673,17,9,3.7109,0.5292,14.785,0,0,-0.1100500174546543,-0.2374080426935735
321,2001-03-13 05:00:00,2001-03-15 07:00:00,38.257,6.581,51,24,1.594,0.172,4.548,0,0,-0.9875505398475442,-0.7316195307512492
322,2001-03-15 17:00:00,2001-03-16 21:00:00,40.943,10.207,29,16,2.5589,0.2493,38.257,0,1,-0.6566665023870264,0.3729120437996617
328,2001-03-22 13:00:00,2001-03-23 15:00:00,78.462,10.952,27,18,4.359,0.1396,7.759,0,1,0.1267166516994131,-0.5780763706603271
332,2001-03-29 13:00:00,2001-03-31 13:00:00,34.906,4.047,49,26,1.3425,0.1159,3.388,0,0,-1.257202778072891,-0.7853833251889071
341,2001-04-23 03:00:00,2001-04-24 22:00:00,49.544,14.108,44,21,2.3592,0.2848,8.473,0,0,-0.2271654202868987,-0.5513292118618933
347,2001-05-07 03:00:00,2001-05-09 06:00:00,75.672,13.436,52,35,2.1621,0.1776,10.549,0,1,0.0197879817240109,-0.5339803729847201
348,2001-05-09 09:00:00,2001-05-10 06:00:00,22.697,5.75,22,14,1.6212,0.2533,85.097,0,1,-1.4035644455038416,1.809389691054464
358,2001-05-25 20:00:00,2001-05-27 03:00:00,35.547,5.934,32,19,1.8709,0.1669,0.861,0,0,-1.1283909626323785,-0.8181767592091992
371,2001-06-15 15:00:00,2001-06-18 07:00:00,76.404,20.157,65,39,1.9591,0.2638,0.232,1,1,0.5694700701488199,-0.8346860519772359
372,2001-06-20 18:00:00,2001-06-22 04:00:00,51.901,6.428,35,21,2.4715,0.1239,0.659,1,0,-0.7853524449178826,-0.8352898673356848
377,2001-06-25 07:00:00,2001-06-25 18:00:00,25.187,8.436,12,7,3.5981,0.3349,8.009,1,0,-0.8929455717895888,-0.5054395588575001
378,2001-06-26 03:00:00,2001-06-26 16:00:00,53.36,39.802,14,8,6.67,0.7459,29.149,1,2,2.3033442009858005,0.3424772818134673
379,2001-06-27 10:00:00,2001-06-27 23:00:00,27.745,10.952,14,9,3.0828,0.3947,81.398,1,1,-0.7741616252901027,1.765513129023608
385,2001-07-03 03:00:00,2001-07-04 19:00:00,42.53,5.598,41,28,1.5189,0.1316,11.086,1,0,-1.0854120920147077,-0.5302206957253051
387,2001-07-08 00:00:00,2001-07-08 23:00:00,53.732,7.509,24,18,2.9851,0.1397,1.758,1,0,-0.6592861292488907,-0.7750381864334601
392,2001-07-13 18:00:00,2001-07-14 13:00:00,22.892,5.201,20,12,1.9077,0.2272,11.806,1,0,-1.398105157803642,-0.4491450266457976
401,2001-07-23 03:00:00,2001-07-23 19:00:00,23.374,4.737,17,11,2.1249,0.2027,20.719,1,0,-1.396196449440824,-0.1749630666550329
412,2001-08-03 06:00:00,2001-08-04 02:00:00,30.816,7.173,21,12,2.568,0.2328,12.197,1,0,-1.0366690803208485,-0.4272823320992761
425,2001-08-14 14:00:00,2001-08-19 15:00:00,47.097,5.293,122,69,0.6826,0.1124,7.051,1,0,-0.7125425836796521,-0.7809445204102059
427,2001-08-22 07:00:00,2001-08-23 19:00:00,57.45,7.606,37,28,2.0518,0.1324,2.906,1,0,-0.7112725863026812,-0.7700211151274703
428,2001-08-23 21:00:00,2001-08-26 02:00:00,26.573,3.309,54,38,0.6993,0.1245,57.45,1,1,-1.483938079176162,0.8682972805145623
429,2001-08-26 06:00:00,2001-08-28 00:00:00,24.168,4.737,43,25,0.9667,0.196,33.319,1,1,-1.443682080443967,0.1633099563724439
435,2001-09-02 04:00:00,2001-09-03 14:00:00,82.362,8.687,35,25,3.2945,0.1055,17.66,1,0,-0.1570617350331815,-0.3104440225006364
439,2001-09-13 05:00:00,2001-09-14 21:00:00,20.786,4.511,41,17,1.2227,0.217,0.836,1,0,-1.4688564219310067,-0.8265507427228092
458,2001-10-02 14:00:00,2001-10-03 11:00:00,22.776,6.233,22,13,1.752,0.2737,33.526,1,1,-1.3528373312134692,0.228314962741232
462,2001-10-08 14:00:00,2001-10-10 09:00:00,126.382,23.362,44,36,3.5106,0.1849,13.393,1,1,1.488048009237278,-0.4082896157999059
463,2001-10-10 13:00:00,2001-10-12 03:00:00,54.697,18.668,39,26,2.1037,0.3413,139.367,1,3,0.0923851561304816,3.507054138861736
465,2001-10-12 20:00:00,2001-10-14 02:00:00,68.597,19.742,31,19,3.6104,0.2878,78.59,1,1,0.5637258248869336,1.649347937021274
472,2001-10-19 03:00:00,2001-10-20 12:00:00,110.388,16.72,34,22,5.0176,0.1515,19.547,1,1,1.0488253684866575,-0.2093403967018303
473,2001-10-20 15:00:00,2001-10-21 20:00:00,21.36,3.76,30,21,1.0171,0.176,129.221,1,3,-1.6021514901610543,3.1289878721342426
476,2001-10-24 15:00:00,2001-10-26 05:00:00,24.089,2.253,39,25,0.9636,0.0935,3.321,1,0,-1.6255410678752265,-0.7841351170103776
482,2001-11-05 20:00:00,2001-11-08 21:00:00,227.345,15.286,74,62,3.6669,0.0672,3.077,1,2,2.033555349531817,-0.845740226151241
483,2001-11-09 07:00:00,2001-11-10 02:00:00,47.829,14.26,20,11,4.3481,0.2981,216.052,1,3,0.0120862964975557,5.899466721215092
485,2001-11-12 21:00:00,2001-11-15 05:00:00,131.767,7.661,57,49,2.6891,0.0581,0.494,1,1,0.2548879824769714,-0.9047510204208146
489,2001-11-18 20:00:00,2001-11-21 01:00:00,117.293,13.247,54,44,2.6658,0.1129,13.265,1,1,0.524639323069961,-0.4756194642625639
490,2001-11-22 14:00:00,2001-11-24 02:00:00,35.382,4.792,37,25,1.4153,0.1354,36.047,1,1,-1.2601708778520402,0.243761329544028
493,2001-12-03 08:00:00,2001-12-03 23:00:00,25.877,7.277,16,10,2.5877,0.2812,0.0,0,0,-1.1243714743905129,-0.7834731873566594
494,2001-12-04 06:00:00,2001-12-07 19:00:00,298.994,35.046,86,64,4.6718,0.1172,25.877,0,2,4.526649658820308,-0.1068890684447412
496,2001-12-10 04:00:00,2001-12-11 21:00:00,90.976,15.811,42,31,2.9347,0.1738,9.633,0,1,0.4380568587170798,-0.539387987042646
504,2002-01-01 18:00:00,2002-01-03 02:00:00,23.618,4.56,33,16,1.4761,0.1931,0.0,0,0,-1.4296559451081732,-0.8445725772163692
529,2002-03-21 21:00:00,2002-03-23 06:00:00,29.894,6.862,34,17,1.7585,0.2295,0.0,0,0,-1.1432913917122898,-0.8306841535922121
543,2002-04-22 02:00:00,2002-04-22 22:00:00,51.669,14.364,21,15,3.4446,0.278,3.492,0,0,-0.1206257727912145,-0.663015019353645
548,2002-05-07 23:00:00,2002-05-10 10:00:00,81.062,14.101,60,41,1.9771,0.174,0.0,0,1,0.1380680581784171,-0.8724800492746903
562,2002-05-27 09:00:00,2002-05-27 23:00:00,20.969,12.758,15,9,2.3299,0.6084,9.242,0,0,-0.9332674549518498,-0.412584952782476
588,2002-06-26 20:00:00,2002-06-28 07:00:00,39.991,8.833,36,24,1.6663,0.2209,6.813,1,0,-0.8927745868528534,-0.6242671647357054
593,2002-07-02 12:00:00,2002-07-04 04:00:00,44.52,5.39,41,28,1.59,0.1211,6.33,1,0,-1.0659125582419322,-0.6794180535651162
595,2002-07-05 08:00:00,2002-07-06 01:00:00,21.531,6.166,18,9,2.3923,0.2864,50.216,1,1,-1.2764382309036248,0.7576274769672173
602,2002-07-13 00:00:00,2002-07-14 05:00:00,27.129,3.834,30,21,1.2919,0.1413,5.494,1,0,-1.4857195835646475,-0.6876060932919803
606,2002-07-18 16:00:00,2002-07-20 19:00:00,141.717,14.388,52,40,3.5429,0.1015,1.526,1,1,0.9997513350899182,-0.8321727121350089
617,2002-07-30 07:00:00,2002-08-01 04:00:00,36.407,7.448,46,30,1.2136,0.2046,3.388,1,0,-1.0539377502237657,-0.7545119042825201
626,2002-08-11 08:00:00,2002-08-13 05:00:00,160.69,24.491,46,36,4.4636,0.1524,25.267,1,2,2.104060701539314,-0.05010068495403
628,2002-08-14 15:00:00,2002-08-17 06:00:00,87.857,5.964,64,56,1.5689,0.0679,160.195,1,3,-0.4448687645302592,4.003449843554466
656,2002-09-12 02:00:00,2002-09-13 13:00:00,22.221,3.62,36,22,1.01,0.1629,8.436,1,0,-1.573950759295227,-0.6025775795822703
657,2002-09-13 18:00:00,2002-09-14 19:00:00,45.143,7.667,26,16,2.8214,0.1698,25.633,1,0,-0.7557609197354167,-0.0345406854032958
658,2002-09-15 02:00:00,2002-09-15 18:00:00,32.348,4.92,17,12,2.6957,0.1521,67.364,1,1,-1.1626425374121647,1.2543101178277982
659,2002-09-15 22:00:00,2002-09-16 17:00:00,22.361,2.875,20,15,1.4907,0.1286,79.585,1,1,-1.618760918954674,1.6061110780130408
660,2002-09-17 00:00:00,2002-09-20 04:00:00,95.377,7.429,77,56,1.7032,0.0779,80.806,1,1,-0.1625591815714847,1.5459595034062974
662,2002-09-20 21:00:00,2002-09-21 12:00:00,38.013,12.276,16,10,3.8013,0.3229,66.894,1,1,-0.3917731486662327,1.3085889033315732
673,2002-10-03 16:00:00,2002-10-04 19:00:00,20.884,3.473,28,14,1.4917,0.1663,3.107,1,0,-1.557921596778019,-0.7498006933036028
684,2002-10-14 20:00:00,2002-10-16 08:00:00,37.048,6.947,37,19,1.9499,0.1875,16.525,1,0,-0.9947558016995476,-0.3350039425716619
686,2002-10-20 14:00:00,2002-10-21 05:00:00,43.989,12.081,16,7,6.2841,0.2746,0.0,1,1,0.1389463563428788,-0.737824308682757
691,2002-10-27 13:00:00,2002-10-30 11:00:00,155.641,21.134,71,50,3.1128,0.1358,4.7,1,1,1.6913646572567829,-0.7434897531364921
694,2002-11-02 17:00:00,2002-11-05 15:00:00,253.833,19.284,71,58,4.3764,0.076,2.167,1,2,2.7108345182625624,-0.8576181114760542
700,2002-11-09 09:00:00,2002-11-11 03:00:00,128.507,20.322,43,30,4.2836,0.1581,17.05,1,1,1.4172166721260897,-0.3008970343962261
708,2002-11-18 03:00:00,2002-11-18 14:00:00,29.155,10.775,12,7,4.165,0.3696,2.955,1,0,-0.5761896418834132,-0.6422991222685701
710,2002-11-19 22:00:00,2002-11-20 23:00:00,30.272,6.581,26,14,2.1623,0.2174,49.532,1,1,-1.1253033298418158,0.7065044550436255
717,2002-12-02 10:00:00,2002-12-03 12:00:00,47.231,8.797,27,16,2.9519,0.1863,13.163,0,0,-0.6231200717565354,-0.4125182635932205
719,2002-12-04 13:00:00,2002-12-05 11:00:00,54.141,11.849,23,16,3.3838,0.2189,55.106,0,1,-0.2678303391897366,0.9025696034469946
725,2002-12-15 16:00:00,2002-12-17 03:00:00,76.862,23.24,36,25,3.0745,0.3024,2.637,0,1,0.8362426791508869,-0.6921755477201769
726,2002-12-17 06:00:00,2002-12-18 03:00:00,58.06,19.022,22,13,4.4662,0.3276,79.499,0,1,0.4985925163359305,1.7088862095871344
729,2002-12-23 22:00:00,2002-12-24 14:00:00,44.349,17.239,17,11,4.0317,0.3887,5.506,0,1,0.0804380644165635,-0.5549146950865227
732,2002-12-26 01:00:00,2002-12-26 22:00:00,54.984,14.755,22,12,4.582,0.2684,53.781,0,1,0.174093334110158,0.8944714638724223
746,2003-03-17 16:00:00,2003-03-18 04:00:00,78.858,38.715,13,7,11.2654,0.4909,0.262,0,2,3.4375794988710324,-0.562987357475615
753,2003-04-20 07:00:00,2003-04-20 14:00:00,21.091,7.875,8,3,7.0303,0.3734,0.391,0,0,-0.361815000206559,-0.6896425024885201
